   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      229    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
        1    0.000    0.000    0.002    0.002 ivp.py:1(<module>)
        1    0.001    0.001    0.002    0.002 basic.py:261(solve_triangular)
      310    0.002    0.000    0.002    0.000 {method 'argmax' of 'numpy.ndarray' objects}
      179    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      298    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        1    0.000    0.000    0.002    0.002 __init__.py:8(<module>)
      259    0.000    0.000    0.002    0.000 shape_base.py:283(<listcomp>)
      398    0.002    0.000    0.002    0.000 {method 'sort' of 'numpy.ndarray' objects}
      179    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
        4    0.000    0.000    0.002    0.000 matfuncs.py:396(A2)
      321    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      404    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.002    0.000 decorator.py:202(create)
        1    0.000    0.000    0.002    0.002 lil.py:2(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:15(<module>)
        1    0.000    0.000    0.002    0.002 nonlin.py:106(<module>)
        1    0.000    0.000    0.002    0.002 basic.py:7(<module>)
        1    0.000    0.000    0.002    0.002 fitpack.py:1(<module>)
        9    0.000    0.000    0.001    0.000 decorator.py:225(decorate)
        1    0.000    0.000    0.001    0.001 _root_scalar.py:8(<module>)
        2    0.000    0.000    0.001    0.001 __init__.py:19(<module>)
      142    0.001    0.000    0.001    0.000 shape_base.py:513(expand_dims)
      345    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.001    0.001 csr.py:1(<module>)
      199    0.000    0.000    0.001    0.000 fromnumeric.py:592(transpose)
        7    0.000    0.000    0.001    0.000 nonlin.py:1498(_nonlin_wrapper)
        3    0.000    0.000    0.001    0.000 __init__.py:357(namedtuple)
        2    0.000    0.000    0.001    0.001 base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _threadsafety.py:1(<module>)
       41    0.000    0.000    0.001    0.000 re.py:286(_compile)
        1    0.000    0.000    0.001    0.001 _trustregion_krylov.py:1(<module>)
     1312    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      229    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
        1    0.000    0.000    0.001    0.001 __init__.py:52(<module>)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
       18    0.000    0.000    0.001    0.000 blas.py:297(_get_funcs)
        1    0.000    0.000    0.001    0.001 _differentiable_functions.py:1(<module>)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:54(decorator)
        1    0.000    0.000    0.001    0.001 distance.py:73(<module>)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:43(decorate)
        1    0.000    0.000    0.001    0.001 quadpack.py:44(quad)
        7    0.000    0.000    0.001    0.000 sre_compile.py:557(compile)
        1    0.000    0.000    0.001    0.001 quadpack.py:430(_quad)
        1    0.000    0.000    0.001    0.001 _linprog.py:16(<module>)
        1    0.000    0.000    0.001    0.001 {built-in method scipy.integrate._quadpack._qagse}
       21    0.000    0.000    0.001    0.000 classes.py:284(<lambda>)
        1    0.000    0.000    0.001    0.001 _ode.py:39(<module>)
        1    0.000    0.000    0.001    0.001 decorator.py:33(<module>)
       15    0.000    0.000    0.001    0.000 blas.py:343(get_blas_funcs)
      179    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      230    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
       18    0.000    0.000    0.001    0.000 blas.py:236(find_best_blas_type)
      229    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 least_squares.py:1(<module>)
        1    0.000    0.000    0.001    0.001 matfuncs.py:5(<module>)
       11    0.000    0.000    0.001    0.000 decorator.py:95(__init__)
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
       16    0.000    0.000    0.001    0.000 _version.py:55(__init__)
       17    0.000    0.000    0.001    0.000 inspect.py:2181(_signature_from_callable)
      266    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      345    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      243    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.001    0.001 optimize.py:17(<module>)
       11    0.000    0.000    0.001    0.000 decorator.py:169(make)
     1062    0.001    0.000    0.001    0.000 {built-in method math.log}
        1    0.000    0.000    0.001    0.001 equality_constrained_sqp.py:1(<module>)
      102    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.001    0.001 matfuncs.py:827(_ell)
        1    0.000    0.000    0.001    0.001 _solvers.py:110(solve_continuous_lyapunov)
       15    0.000    0.000    0.001    0.000 numerictypes.py:602(find_common_type)
        1    0.000    0.000    0.001    0.001 compressed.py:1(<module>)
       10    0.000    0.000    0.001    0.000 inspect.py:1087(getfullargspec)
      345    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        3    0.000    0.000    0.001    0.000 re.py:231(compile)
       17    0.000    0.000    0.001    0.000 inspect.py:2100(_signature_from_function)
       23    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.001    0.001 bdf.py:1(<module>)
      248    0.000    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.001    0.001 blas.py:202(<module>)
        1    0.000    0.000    0.001    0.001 _linprog_simplex.py:3(<module>)
        1    0.000    0.000    0.001    0.001 linsolve.py:1(<module>)
       22    0.000    0.000    0.001    0.000 re.py:169(match)
        1    0.000    0.000    0.001    0.001 classes.py:41(__init__)
        1    0.000    0.000    0.001    0.001 arpack.py:7(<module>)
       30    0.000    0.000    0.001    0.000 numerictypes.py:578(_can_coerce_all)
        1    0.000    0.000    0.001    0.001 _fitpack_impl.py:22(<module>)
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
        1    0.000    0.000    0.000    0.000 _numpy_compat.py:3(<module>)
        7    0.000    0.000    0.000    0.000 sre_parse.py:844(parse)
        1    0.000    0.000    0.000    0.000 _ccallback.py:1(<module>)
        7    0.000    0.000    0.000    0.000 sre_compile.py:542(_code)
        1    0.000    0.000    0.000    0.000 _bsplines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _plotutils.py:1(<module>)
     1744    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1897    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1527    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        7    0.000    0.000    0.000    0.000 _util.py:270(getargspec_no_self)
      602    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
        4    0.000    0.000    0.000    0.000 function_base.py:37(linspace)
        2    0.000    0.000    0.000    0.000 interface.py:467(_matmat)
        1    0.000    0.000    0.000    0.000 matfuncs.py:134(_is_upper_triangular)
     2982    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 interface.py:170(_matmat)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     1164    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
      210    0.000    0.000    0.000    0.000 classes.py:112(__init__)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        8    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:119(filterwarnings)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
        4    0.000    0.000    0.000    0.000 _util.py:193(_asarray_validated)
        3    0.000    0.000    0.000    0.000 numeric.py:1121(outer)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        2    0.000    0.000    0.000    0.000 interface.py:177(<listcomp>)
        1    0.000    0.000    0.000    0.000 _numdiff.py:1(<module>)
      223    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
        2    0.000    0.000    0.000    0.000 _version.py:148(__gt__)
        1    0.000    0.000    0.000    0.000 zeros.py:1(<module>)
       21    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
     14/7    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
        4    0.000    0.000    0.000    0.000 interface.py:191(matvec)
      8/7    0.000    0.000    0.000    0.000 sre_parse.py:407(_parse_sub)
        1    0.000    0.000    0.000    0.000 twodim_base.py:402(tril)
        1    0.000    0.000    0.000    0.000 trf.py:95(<module>)
        7    0.000    0.000    0.000    0.000 inspect.py:3055(signature)
        1    0.000    0.000    0.000    0.000 trf_linear.py:2(<module>)
        7    0.000    0.000    0.000    0.000 inspect.py:2803(from_callable)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
        5    0.000    0.000    0.000    0.000 function_base.py:434(asarray_chkfinite)
      8/7    0.000    0.000    0.000    0.000 sre_parse.py:470(_parse)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        1    0.000    0.000    0.000    0.000 lbfgsb.py:9(<module>)
        1    0.000    0.000    0.000    0.000 decomp_schur.py:20(schur)
        4    0.000    0.000    0.000    0.000 interface.py:473(_matvec)
        1    0.000    0.000    0.000    0.000 quadpack.py:3(<module>)
        1    0.000    0.000    0.000    0.000 linesearch.py:13(<module>)
        4    0.000    0.000    0.000    0.000 interface.py:238(rmatvec)
      724    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:847(__exit__)
        1    0.000    0.000    0.000    0.000 _linprog_util.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _ellip_harm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fitpack2.py:7(<module>)
      724    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:843(__enter__)
        1    0.000    0.000    0.000    0.000 odepack.py:2(<module>)
        1    0.000    0.000    0.000    0.000 flinalg.py:5(<module>)
        1    0.000    0.000    0.000    0.000 projections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 slsqp.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reduction.py:10(<module>)
        1    0.000    0.000    0.000    0.000 interpolate.py:205(__init__)
        3    0.000    0.000    0.000    0.000 lapack.py:603(get_lapack_funcs)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:1(<module>)
       11    0.000    0.000    0.000    0.000 fromnumeric.py:2397(amax)
        1    0.000    0.000    0.000    0.000 nnls.py:1(<module>)
        1    0.000    0.000    0.000    0.000 matfuncs.py:115(_onenorm)
        4    0.000    0.000    0.000    0.000 matfuncs.py:206(_rmatvec)
        1    0.000    0.000    0.000    0.000 cobyla.py:11(<module>)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
       88    0.000    0.000    0.000    0.000 inspect.py:2450(__init__)
      387    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 lgmres.py:4(<module>)
      199    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 _onenormest.py:129(wrapper)
       69    0.000    0.000    0.000    0.000 enum.py:803(__and__)
      238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
        1    0.000    0.000    0.000    0.000 matfuncs.py:82(_onenorm_matrix_power_nnm)
      179    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       13    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        4    0.000    0.000    0.000    0.000 _onenormest.py:165(_sum_abs_axis0)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
        2    0.000    0.000    0.000    0.000 decorator.py:240(decorator)
      198    0.000    0.000    0.000    0.000 {built-in method time.time}
     1312    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 tnc.py:33(<module>)
        1    0.000    0.000    0.000    0.000 control.py:12(__init__)
      232    0.000    0.000    0.000    0.000 enum.py:267(__call__)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.000    0.000 triangulation.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _onenormest.py:200(column_needs_resampling)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.where}
        4    0.000    0.000    0.000    0.000 _onenormest.py:193(every_col_of_X_is_parallel_to_a_col_of_Y)
      920    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1312    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      230    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.000    0.000 kdtree.py:3(<module>)
       15    0.000    0.000    0.000    0.000 utils.py:118(deprecate)
       14    0.000    0.000    0.000    0.000 getlimits.py:365(__new__)
        1    0.000    0.000    0.000    0.000 interface.py:41(<module>)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
      358    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 interface.py:417(adjoint)
        5    0.000    0.000    0.000    0.000 _methods.py:42(_any)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 _cubic.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _onenormest.py:143(sign_round_up)
       15    0.000    0.000    0.000    0.000 utils.py:75(__call__)
        1    0.000    0.000    0.000    0.000 twodim_base.py:348(tri)
        2    0.000    0.000    0.000    0.000 interface.py:445(_adjoint)
      590    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        7    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _onenormest.py:214(resample_column)
        1    0.000    0.000    0.000    0.000 decomp_schur.py:1(<module>)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        7    0.000    0.000    0.000    0.000 sre_compile.py:482(_compile_info)
       17    0.000    0.000    0.000    0.000 inspect.py:2730(__init__)
       20    0.000    0.000    0.000    0.000 _onenormest.py:183(vectors_are_parallel)
        7    0.000    0.000    0.000    0.000 _methods.py:45(_all)
      238    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      106    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 interface.py:456(__init__)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
     1056    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 radau.py:1(<module>)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2083(any)
        5    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 rk.py:1(<module>)
